taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,occurrenceRemarks,source
alien-scheldt-checklist:taxon:05cccb416639383038a6c5e2a61831f5,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2008/,,https://doi.org/10.3391/ai.2013.8.1.04
alien-scheldt-checklist:taxon:121ef263ba0aafabecae06857b7c93ef,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2014/,,
alien-scheldt-checklist:taxon:19909f80ef23d57428b1160a73f98a0b,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2007/,,
alien-scheldt-checklist:taxon:1d0c1dfbd9ebb210d954358fbd7d0f09,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2009/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:1ee50ade554e659d5ea86682e9731dd7,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2007/,,"Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10."
alien-scheldt-checklist:taxon:1f40ecd0368ea58793530bca77bedac6,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2005/,other intentional release,"Van den Neucker, T., Van den Neucker, M., Soors, J., Stevens, M., & Coeck, J. (2009). Garnalen en krabben op de rand van brak en zoet in de Zeeschelde. De Strandvlo: Driemaandelijks Tijdschrift van De Strandwerkgroep België, 29(4), 128-133."
alien-scheldt-checklist:taxon:21eaa80ea4944f22ba3d3d773eb7dc89,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1996/2020,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:2359d127d5a4d647c96b885aafd375f0,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,,,
alien-scheldt-checklist:taxon:248f2dbbe4c46fa0f14864ea92414ca5,ISO_3166-2:BE-VLG,Flanders,BE,absent,introduced,,not present,"Kerckhof, F. & M.A. Faasse 2014. Boccardia proboscidea and Boccardiella hamata (Polychaeta: Spionidae: Polydorinae), introduced mud worms new for the North Sea and Europe, respectively 7: 1-9."
alien-scheldt-checklist:taxon:27dc3c52faa67d22bbacc75cf028b80a,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2007/,,"van Haaren, T., & Soors, J. (2009). Sinelobus stanfordi (Richardson, 1901): A new crustacean invader in Europe. Aquatic Invasions, 4(4), 703-711."
