taxonID,isMarine,isFreshwater,isTerrestrial
alien-scheldt-checklist:taxon:05cccb416639383038a6c5e2a61831f5,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:121ef263ba0aafabecae06857b7c93ef,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:19909f80ef23d57428b1160a73f98a0b,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:1d0c1dfbd9ebb210d954358fbd7d0f09,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:1ee50ade554e659d5ea86682e9731dd7,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:1f40ecd0368ea58793530bca77bedac6,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2186d01c13ac451d2062594289cf349c,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:21eaa80ea4944f22ba3d3d773eb7dc89,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2359d127d5a4d647c96b885aafd375f0,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:248f2dbbe4c46fa0f14864ea92414ca5,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:27dc3c52faa67d22bbacc75cf028b80a,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2baaca027fe4def3b5ac38b193d47b5c,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2d23ae296ba1731fe3ad6ad59ddd1cbc,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2e45db349528627f5455bc1be26de180,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:2eefc543833601b5d88f4150ce0d1b89,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:32f76bd5813c347071f4df83a4b7b923,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:341e2ee593e3e427b5f835774ebf0c0e,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:38f13652f41c27960bcd73a290edfffc,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:46dc4c05642a46b2fce6d803cef320f6,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:4a8ccf71299a2888458dfb658fdfb67f,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:4b66504f07d381e4e34cc926d577595f,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:4b6eb5721fc16496c4092047f9cc79cc,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:52280b81c6b277f031faa79ecde9fecf,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:55f7ddf71c4e3d956b5e056a85032bde,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:582fd8bca5df49e49c46b970d3a328c8,TRUE,TRUE,FALSE
alien-scheldt-checklist:taxon:62e7496b276ce9f088c367d51394849d,TRUE,TRUE,FALSE
