language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:0170c6b988638aebe805606895536f4b,Potamocorbula amurensis,Animalia,Mollusca,Bivalvia,Myoida,Corbulidae,Potamocorbula,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:02715ee8c2310d248e01f6801b5bab1d,Potamothrix heuscheri,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:029a2217b14394d88bcf8394937dee0d,Potamothrix vejdovskyi,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:0980a0536153a57efbd827d6a75a8073,Bratislavia dadayi,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Bratislavia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:10f2c21e38d910bcc489e526cb5706da,Corbicula fluminea,Animalia,Mollusca,Bivalvia,Veneroida,Cyrenidae,Corbicula,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:19308b14aa34da69607057cf80de7601,"Magallana gigas  (Thunberg, 1793)",Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Magallana,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:1f40ecd0368ea58793530bca77bedac6,"Gammarus tigrinus Sexton, 1939",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:2006b3f3797d5dc687e19f8f3e706b2b,"Amphibalanus improvisus Darwin, 1854",Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Amphibalanus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:20e71136daaff2d5aca5fd92ae6ceb35,"Nemopsis bachei Agassiz, 1849",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Nemopsis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:21f4d5142faf7b730425ceaaa84c7ca0,Monopylephorus limosus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Monopylephorus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:2289aa600118af9bcebcce742cc3164e,Streblospio benedicti/ shrubsolii,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:2d23ae296ba1731fe3ad6ad59ddd1cbc,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:32dc2e18733fffa92ba4e1b35d03c4e2,Ferrissia fragilis,Animalia,Mollusca,Gastropoda,Hygrophila,Planorbidae,Ferrissia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3445452bad786e8350756a06356b289d,Austrominius modestus,Animalia,Arthropoda,Maxillopoda,Sessilia,Austrobalanidae,Austrominius,species,ICZN
