"scientific name","kingdom","phylum","class","order","family","genus","taxon rank","nomenclatural code","location","country code","occurrence status","origin","date first observation","date last observation","degree of establishment","introduction pathway","remarks","native range","realm","source","abundance","threat status","host","date added","added by","verified by","GBIF scientific name","GBIF matchtype","GBIF confidence","GBIF rank"
"Atyaephyra desmarestii","Animalia","Arthropoda","Malacostraca","Decapoda","Atyidae","Atyaephyra","species","ICZN","Flanders","BE","present","introduced","2007","2007","casual","corridor_water",NA,"Mediterranean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Atyaephyra desmarestii (Millet, 1831)","EXACT",98,"SPECIES"
"Austrominius modestus","Animalia","Arthropoda","Maxillopoda","Sessilia","Austrobalanidae","Austrominius","species","ICZN","Flanders","BE","doubtful","introduced",NA,NA,"casual","escape_aquaculture",NA,"Australia | New-Zealand","estuarine",NA,NA,NA,NA,"2020-07-07","Jan Soors",NA,"Austrominius modestus (Darwin, 1854)","EXACT",98,"SPECIES"
"Amphibalanus improvisus Darwin, 1854","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","species","ICZN","Flanders","BE","present","uncertain",NA,NA,"established","escape_aquaculture",NA,"probably the Americas","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Amphibalanus improvisus (Darwin, 1854)","EXACT",98,"SPECIES"
"Boccardiella ligerica","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardiella","species","ICZN","Flanders","BE","present","introduced",NA,NA,"established","corridor_water",NA,"unknown","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Boccardiella ligerica (Ferronnière, 1898)","EXACT",98,"SPECIES"
"Boccardiella hamata","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardiella","species","ICZN","Flanders","BE","absent","introduced",NA,NA,"casual","stowaway_ballast_water","not present","unknown","estuarine","Kerckhof, F. & M.A. Faasse 2014. Boccardia proboscidea and Boccardiella hamata (Polychaeta: Spionidae: Polydorinae), introduced mud worms new for the North Sea and Europe, respectively 7: 1-9.",NA,NA,NA,"2020-07-17","jan Soors",NA,"Boccardiella hamata (Webster, 1879)","EXACT",98,"SPECIES"
"Branchiodrilus hortensis","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Branchiodrilus","species","ICZN","Flanders","BE","present","introduced","2010",NA,"casual","escape_pet | contaminant_plant",NA,"Asia | Africa | Australia","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Branchiodrilus hortensis (Stephenson, 1910)","EXACT",98,"SPECIES"
"Branchiura sowerbyi","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Branchiura","species","ICZN","Flanders","BE","present","introduced","2011",NA,"established","escape_pet | contaminant_plant",NA,"Asia","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Branchiura sowerbyi Beddard, 1892","EXACT",98,"SPECIES"
"Bratislavia dadayi","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Bratislavia","species","ICZN","Flanders","BE","present","introduced","2002",NA,"casual","stowaway_ballast_water",NA,"Southern hemisphere | China | South Eastern United States of America","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Bratislavia dadayi (Michaelsen, 1905)","EXACT",98,"SPECIES"
"Callinectes sapidus Rathbun, 1896","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","species","ICZN","Flanders","BE","present","introduced",NA,NA,"casual","release_fishery | escape_aquaculture",NA,"Northern America | Southern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Callinectes sapidus Rathbun, 1896","EXACT",100,"SPECIES"
"Chelicorophium curvispinum (G.O. Sars, 1895)","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Chelicorophium","species","ICZN","Flanders","BE","present","introduced","1998",NA,"casual","stowaway_ballast_water",NA,"Asia","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Chelicorophium curvispinum (G.O.Sars, 1895)","EXACT",99,"SPECIES"
"Corbicula fluminea","Animalia","Mollusca","Bivalvia","Veneroida","Cyrenidae","Corbicula","species","ICZN","Flanders","BE","present","introduced","2008",NA,"established","stowaway_ballast_water",NA,"Asia | Africa","estuarine","Van Ryckegem, G., & Soors, J. (2018). Tweekleppigen (Bivalvia) in de Zeeschelde: Verkennende monitoring en potentiële rol van schelpdieren in de Boven-Zeeschelde. (Rapporten van het Instituut voor Natuur- en Bosonderzoek; Nr. 99). Instituut voor Natuur- en Bosonderzoek. https://doi.org/10.21436/inbor.15559786",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Corbicula fluminea (O.F.Müller, 1774)","EXACT",98,"SPECIES"
"Cordylophora caspia (Pallas, 1771)","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cordylophoridae","Cordylophora","species","ICZN","Flanders","BE","present","introduced",NA,NA,"established","stowaway_ballast_water | stowaway_hull_fouling",NA,"Europe","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Cordylophora caspia (Pallas, 1771)","EXACT",99,"SPECIES"
"Crangonyx pseudogracilis","Animalia","Arthropoda","Malacostraca","Amphipoda","Crangonyctidae","Crangonyx","species","ICZN","Flanders","BE","present","introduced","2007",NA,"casual","stowaway_ballast_water",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Crangonyx pseudogracilis Bousfield, 1958","EXACT",98,"SPECIES"
"Cryptorchestia garbinii Ruffo, Tarocco & Latella, 2014","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Cryptorchestia","species","ICZN","Flanders","BE","present","introduced","1927",NA,"established","stowaway_ship",NA,"Asia","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Cryptorchestia garbinii Ruffo, Tarocco & Latella, 2014","EXACT",100,"SPECIES"
"Dikerogammarus villosus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Dikerogammarus","species","ICZN","Flanders","BE","present","introduced","1999",NA,"casual","corridor_water",NA,"Ponto-caspian","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Dikerogammarus villosus (Sowinsky, 1894)","EXACT",98,"SPECIES"
"Dohrniphora cornuta","Animalia","Arthropoda","Insecta","Diptera","Phoridae","Dohrniphora","species","ICZN","Flanders","BE","present","introduced","2005",NA,"casual",NA,NA,NA,"estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Dohrniphora cornuta (Bigot, 1857)","EXACT",98,"SPECIES"
